"","moduleColors","Gene"
"12096","turquoise","gene.Ha412HOChr10g0449771"
"12097","turquoise","gene.Ha412HOChr10g0449811"
"12098","yellow","gene.Ha412HOChr10g0449821"
"12099","antiquewhite2","gene.Ha412HOChr10g0449881"
"12100","cyan","gene.Ha412HOChr10g0450081"
"12101","saddlebrown","gene.Ha412HOChr10g0450161"
"12102","plum3","gene.Ha412HOChr10g0450281"
"12103","ivory","gene.Ha412HOChr10g0450291"
"12104","tan","gene.Ha412HOChr10g0450331"
"12105","skyblue2","gene.Ha412HOChr10g0450351"
"12106","blue","gene.Ha412HOChr10g0450381"
"12107","orangered1","gene.Ha412HOChr10g0450391"
"12108","saddlebrown","gene.Ha412HOChr10g0450441"
"12109","yellow","gene.Ha412HOChr10g0450481"
"12110","violet","gene.Ha412HOChr10g0450521"
"12111","skyblue1","gene.Ha412HOChr10g0450611"
"12112","saddlebrown","gene.Ha412HOChr10g0450621"
"12113","turquoise","gene.Ha412HOChr10g0450641"
"12114","blue","gene.Ha412HOChr10g0450761"
"12115","blue","gene.Ha412HOChr10g0450771"
"12116","blue","gene.Ha412HOChr10g0450781"
"12117","lightcyan","gene.Ha412HOChr10g0450811"
"12118","blue","gene.Ha412HOChr10g0450861"
"12119","greenyellow","gene.Ha412HOChr10g0451011"
"12120","orangered4","gene.Ha412HOChr10g0451041"
"12121","saddlebrown","gene.Ha412HOChr10g0451131"
"12122","saddlebrown","gene.Ha412HOChr10g0451151"
"12123","yellow","gene.Ha412HOChr10g0451161"
"12124","yellow","gene.Ha412HOChr10g0451181"
"12125","black","gene.Ha412HOChr10g0451351"
"12126","palevioletred3","gene.Ha412HOChr10g0451421"
"12127","turquoise","gene.Ha412HOChr10g0451461"
"12128","coral1","gene.Ha412HOChr10g0451501"
"12129","darkturquoise","gene.Ha412HOChr10g0451571"
"12130","turquoise","gene.Ha412HOChr10g0451581"
"12131","darkgreen","gene.Ha412HOChr10g0451601"
"12132","violet","gene.Ha412HOChr10g0451731"
"12133","darkorange2","gene.Ha412HOChr10g0451751"
"12134","blue","gene.Ha412HOChr10g0451781"
"12135","ivory","gene.Ha412HOChr10g0451791"
"12136","darkgreen","gene.Ha412HOChr10g0451841"
"12137","orangered4","gene.Ha412HOChr10g0451851"
"12138","orangered4","gene.Ha412HOChr10g0451861"
"12139","blue","gene.Ha412HOChr10g0451891"
"12140","darkorange2","gene.Ha412HOChr10g0451901"
"12141","orangered4","gene.Ha412HOChr10g0451931"
"12142","blue","gene.Ha412HOChr10g0451951"
"12143","ivory","gene.Ha412HOChr10g0451991"
"12144","palevioletred3","gene.Ha412HOChr10g0452041"
"12145","lightgreen","gene.Ha412HOChr10g0452141"
"12146","blue","gene.Ha412HOChr10g0452241"
"12147","blue","gene.Ha412HOChr10g0452271"
"12148","magenta4","gene.Ha412HOChr10g0452301"
"12149","saddlebrown","gene.Ha412HOChr10g0452331"
"12150","skyblue1","gene.Ha412HOChr10g0452341"
"12151","blue","gene.Ha412HOChr10g0452441"
"12152","saddlebrown","gene.Ha412HOChr10g0452531"
"12153","darkturquoise","gene.Ha412HOChr10g0452611"
"12154","ivory","gene.Ha412HOChr10g0452631"
"12155","ivory","gene.Ha412HOChr10g0452661"
"12156","blue","gene.Ha412HOChr10g0452711"
"12157","greenyellow","gene.Ha412HOChr10g0452731"
"12158","saddlebrown","gene.Ha412HOChr10g0452821"
"12159","blue","gene.Ha412HOChr10g0452851"
"12160","greenyellow","gene.Ha412HOChr10g0452861"
"12161","saddlebrown","gene.Ha412HOChr10g0452961"
"12162","saddlebrown","gene.Ha412HOChr10g0453061"
"12163","magenta4","gene.Ha412HOChr10g0453071"
"12164","darkgreen","gene.Ha412HOChr10g0453101"
"12165","ivory","gene.Ha412HOChr10g0453111"
"12166","blue","gene.Ha412HOChr10g0453151"
"12167","magenta4","gene.Ha412HOChr10g0453161"
"12168","blue","gene.Ha412HOChr10g0453181"
"12169","turquoise","gene.Ha412HOChr10g0453231"
"12170","midnightblue","gene.Ha412HOChr10g0453311"
"12171","midnightblue","gene.Ha412HOChr10g0453321"
"12172","midnightblue","gene.Ha412HOChr10g0453341"
"12173","darkgrey","gene.Ha412HOChr10g0453371"
"12174","blue","gene.Ha412HOChr10g0453381"
"12175","turquoise","gene.Ha412HOChr10g0453591"
"12176","saddlebrown","gene.Ha412HOChr10g0453601"
"12177","turquoise","gene.Ha412HOChr10g0453651"
"12178","blue","gene.Ha412HOChr10g0453681"
"12179","yellow","gene.Ha412HOChr10g0453701"
"12180","saddlebrown","gene.Ha412HOChr10g0453771"
"12181","lightcyan","gene.Ha412HOChr10g0453851"
"12182","orange","gene.Ha412HOChr10g0453881"
"12183","greenyellow","gene.Ha412HOChr10g0453971"
"12184","orangered4","gene.Ha412HOChr10g0453981"
"12185","greenyellow","gene.Ha412HOChr10g0453991"
"12186","blue2","gene.Ha412HOChr10g0454161"
"12187","saddlebrown","gene.Ha412HOChr10g0454181"
"12188","orangered4","gene.Ha412HOChr10g0454201"
"12189","mediumpurple2","gene.Ha412HOChr10g0454211"
"12190","orangered4","gene.Ha412HOChr10g0454221"
"12191","blue","gene.Ha412HOChr10g0454241"
"12192","darkorange2","gene.Ha412HOChr10g0454251"
"12193","ivory","gene.Ha412HOChr10g0454281"
"12194","darkgreen","gene.Ha412HOChr10g0454301"
"12195","greenyellow","gene.Ha412HOChr10g0454311"
"12196","cyan","gene.Ha412HOChr10g0454331"
"12197","turquoise","gene.Ha412HOChr10g0454341"
"12198","turquoise","gene.Ha412HOChr10g0454361"
"12199","violet","gene.Ha412HOChr10g0454381"
"12200","salmon","gene.Ha412HOChr10g0454421"
"12201","black","gene.Ha412HOChr10g0454431"
"12202","saddlebrown","gene.Ha412HOChr10g0454461"
"12203","yellow","gene.Ha412HOChr10g0454481"
"12204","ivory","gene.Ha412HOChr10g0454501"
"12205","blue2","gene.Ha412HOChr10g0454521"
"12206","yellow","gene.Ha412HOChr10g0454551"
"12207","blue","gene.Ha412HOChr10g0454581"
"12208","cyan","gene.Ha412HOChr10g0454591"
"12209","darkturquoise","gene.Ha412HOChr10g0454631"
"12210","palevioletred3","gene.Ha412HOChr10g0454641"
"12211","thistle3","gene.Ha412HOChr10g0454651"
"12212","orangered1","gene.Ha412HOChr10g0454671"
"12213","lightcyan","gene.Ha412HOChr10g0454691"
"12214","magenta4","gene.Ha412HOChr10g0454741"
"12215","turquoise","gene.Ha412HOChr10g0454761"
"12216","blue","gene.Ha412HOChr10g0454771"
"12217","greenyellow","gene.Ha412HOChr10g0454781"
"12218","greenyellow","gene.Ha412HOChr10g0454801"
"12219","darkgreen","gene.Ha412HOChr10g0454851"
"12220","orangered4","gene.Ha412HOChr10g0454861"
"12221","blue","gene.Ha412HOChr10g0454871"
"12222","blue","gene.Ha412HOChr10g0454891"
"12223","darkslateblue","gene.Ha412HOChr10g0454951"
"12224","black","gene.Ha412HOChr10g0454971"
"12225","bisque4","gene.Ha412HOChr10g0455011"
"12226","blue","gene.Ha412HOChr10g0455051"
"12227","blue","gene.Ha412HOChr10g0455081"
"12228","orangered4","gene.Ha412HOChr10g0455101"
"12229","lightgreen","gene.Ha412HOChr10g0455131"
"12230","saddlebrown","gene.Ha412HOChr10g0455141"
"12231","turquoise","gene.Ha412HOChr10g0455151"
"12232","greenyellow","gene.Ha412HOChr10g0455161"
"12233","magenta4","gene.Ha412HOChr10g0455191"
"12234","darkturquoise","gene.Ha412HOChr10g0455211"
"12235","ivory","gene.Ha412HOChr10g0455261"
"12236","saddlebrown","gene.Ha412HOChr10g0455301"
"12237","lightcyan","gene.Ha412HOChr10g0455321"
"12238","orangered4","gene.Ha412HOChr10g0455381"
"12239","lightgreen","gene.Ha412HOChr10g0455401"
"12240","blue","gene.Ha412HOChr10g0455431"
"12241","cyan","gene.Ha412HOChr10g0455441"
"12242","greenyellow","gene.Ha412HOChr10g0455481"
"12243","darkturquoise","gene.Ha412HOChr10g0455501"
"12244","greenyellow","gene.Ha412HOChr10g0455521"
"12245","saddlebrown","gene.Ha412HOChr10g0455571"
"12246","tan","gene.Ha412HOChr10g0455601"
"12247","turquoise","gene.Ha412HOChr10g0455621"
"12248","blue","gene.Ha412HOChr10g0455631"
"12249","ivory","gene.Ha412HOChr10g0455641"
"12250","blue","gene.Ha412HOChr10g0455701"
"12251","turquoise","gene.Ha412HOChr10g0455731"
"12252","greenyellow","gene.Ha412HOChr10g0455741"
"12253","darkturquoise","gene.Ha412HOChr10g0455751"
"12254","midnightblue","gene.Ha412HOChr10g0455841"
"12255","blue","gene.Ha412HOChr10g0455891"
"12256","black","gene.Ha412HOChr10g0455981"
"12257","blue","gene.Ha412HOChr10g0456051"
"12258","cyan","gene.Ha412HOChr10g0456081"
"12259","greenyellow","gene.Ha412HOChr10g0456121"
"12260","blue","gene.Ha412HOChr10g0456151"
"12261","greenyellow","gene.Ha412HOChr10g0456161"
"12262","lightgreen","gene.Ha412HOChr10g0456171"
"12263","blue","gene.Ha412HOChr10g0456211"
"12264","blue","gene.Ha412HOChr10g0456221"
"12265","blue","gene.Ha412HOChr10g0456231"
"12266","yellow","gene.Ha412HOChr10g0456451"
"12267","black","gene.Ha412HOChr10g0456461"
"12268","mediumorchid","gene.Ha412HOChr10g0456481"
"12269","saddlebrown","gene.Ha412HOChr10g0456511"
"12270","turquoise","gene.Ha412HOChr10g0456531"
"12271","greenyellow","gene.Ha412HOChr10g0456551"
"12272","magenta","gene.Ha412HOChr10g0456561"
"12273","darkturquoise","gene.Ha412HOChr10g0456591"
"12274","saddlebrown","gene.Ha412HOChr10g0456621"
"12275","blue","gene.Ha412HOChr10g0456661"
"12276","antiquewhite2","gene.Ha412HOChr10g0456671"
"12277","tan","gene.Ha412HOChr10g0456761"
"12278","blue","gene.Ha412HOChr10g0457001"
"12279","saddlebrown","gene.Ha412HOChr10g0457021"
"12280","blue","gene.Ha412HOChr10g0457031"
"12281","darkturquoise","gene.Ha412HOChr10g0457051"
"12282","cyan","gene.Ha412HOChr10g0457061"
"12283","saddlebrown","gene.Ha412HOChr10g0457071"
"12284","magenta","gene.Ha412HOChr10g0457091"
"12285","darkgrey","gene.Ha412HOChr10g0457101"
"12286","thistle3","gene.Ha412HOChr10g0457151"
"12287","navajowhite1","gene.Ha412HOChr10g0457181"
"12288","black","gene.Ha412HOChr10g0457191"
"12289","greenyellow","gene.Ha412HOChr10g0457261"
"12290","turquoise","gene.Ha412HOChr10g0457281"
"12291","greenyellow","gene.Ha412HOChr10g0457291"
"12292","yellow","gene.Ha412HOChr10g0457301"
"12293","ivory","gene.Ha412HOChr10g0457311"
"12294","blue","gene.Ha412HOChr10g0457341"
"12295","magenta","gene.Ha412HOChr10g0457421"
"12296","darkolivegreen","gene.Ha412HOChr10g0457521"
"12297","skyblue2","gene.Ha412HOChr10g0457641"
"12298","lightcyan","gene.Ha412HOChr10g0457731"
"12299","mediumpurple2","gene.Ha412HOChr10g0457741"
"12300","greenyellow","gene.Ha412HOChr10g0457751"
"12301","orangered4","gene.Ha412HOChr10g0457771"
"12302","turquoise","gene.Ha412HOChr10g0457781"
"12303","greenyellow","gene.Ha412HOChr10g0457801"
"12304","lightgreen","gene.Ha412HOChr10g0457901"
"12305","blue","gene.Ha412HOChr10g0458001"
"12306","blue","gene.Ha412HOChr10g0458071"
"12307","lightgreen","gene.Ha412HOChr10g0458141"
"12308","black","gene.Ha412HOChr10g0458161"
"12309","saddlebrown","gene.Ha412HOChr10g0458201"
"12310","magenta4","gene.Ha412HOChr10g0458311"
"12311","ivory","gene.Ha412HOChr10g0458521"
"12312","saddlebrown","gene.Ha412HOChr10g0458531"
"12313","black","gene.Ha412HOChr10g0458571"
"12314","turquoise","gene.Ha412HOChr10g0458601"
"12315","greenyellow","gene.Ha412HOChr10g0458711"
"12316","blue","gene.Ha412HOChr10g0458941"
"12317","yellow","gene.Ha412HOChr10g0459021"
"12318","blue","gene.Ha412HOChr10g0459121"
"12319","blue","gene.Ha412HOChr10g0459131"
"12320","turquoise","gene.Ha412HOChr10g0459151"
"12321","cyan","gene.Ha412HOChr10g0459161"
"12322","turquoise","gene.Ha412HOChr10g0459171"
"12323","darkturquoise","gene.Ha412HOChr10g0459221"
"12324","blue","gene.Ha412HOChr10g0459251"
"12325","greenyellow","gene.Ha412HOChr10g0459361"
"12326","saddlebrown","gene.Ha412HOChr10g0459401"
"12327","saddlebrown","gene.Ha412HOChr10g0459411"
"12328","greenyellow","gene.Ha412HOChr10g0459471"
"12329","saddlebrown","gene.Ha412HOChr10g0459481"
"12330","antiquewhite2","gene.Ha412HOChr10g0459551"
"12331","black","gene.Ha412HOChr10g0459601"
"12332","greenyellow","gene.Ha412HOChr10g0459611"
"12333","black","gene.Ha412HOChr10g0459631"
"12334","blue","gene.Ha412HOChr10g0459641"
"12335","ivory","gene.Ha412HOChr10g0459651"
"12336","greenyellow","gene.Ha412HOChr10g0459691"
"12337","blue","gene.Ha412HOChr10g0459711"
"12338","blue","gene.Ha412HOChr10g0459741"
"12339","blue","gene.Ha412HOChr10g0459861"
"12340","turquoise","gene.Ha412HOChr10g0459871"
"12341","ivory","gene.Ha412HOChr10g0459901"
"12342","darkorange","gene.Ha412HOChr10g0459921"
"12343","magenta4","gene.Ha412HOChr10g0460031"
"12344","ivory","gene.Ha412HOChr10g0460071"
"12345","orangered4","gene.Ha412HOChr10g0460221"
"12346","blue","gene.Ha412HOChr10g0460271"
"12347","turquoise","gene.Ha412HOChr10g0460341"
"12348","darkturquoise","gene.Ha412HOChr10g0460371"
"12349","turquoise","gene.Ha412HOChr10g0460401"
"12350","blue","gene.Ha412HOChr10g0460411"
"12351","darkgreen","gene.Ha412HOChr10g0460431"
"12352","skyblue2","gene.Ha412HOChr10g0460501"
"12353","magenta4","gene.Ha412HOChr10g0460521"
"12354","saddlebrown","gene.Ha412HOChr10g0460691"
"12355","greenyellow","gene.Ha412HOChr10g0460741"
"12356","saddlebrown","gene.Ha412HOChr10g0460771"
"12357","orange","gene.Ha412HOChr10g0460781"
"12358","orangered4","gene.Ha412HOChr10g0460791"
"12359","turquoise","gene.Ha412HOChr10g0460841"
"12360","saddlebrown","gene.Ha412HOChr10g0460851"
"12361","thistle","gene.Ha412HOChr10g0460871"
"12362","orangered4","gene.Ha412HOChr10g0460881"
"12363","orangered4","gene.Ha412HOChr10g0460891"
"12364","blue","gene.Ha412HOChr10g0460901"
"12365","magenta4","gene.Ha412HOChr10g0460921"
"12366","darkturquoise","gene.Ha412HOChr10g0460961"
"12367","bisque4","gene.Ha412HOChr10g0460991"
"12368","blue","gene.Ha412HOChr10g0461001"
"12369","blue","gene.Ha412HOChr10g0461201"
"12370","darkturquoise","gene.Ha412HOChr10g0461311"
"12371","greenyellow","gene.Ha412HOChr10g0461391"
"12372","blue","gene.Ha412HOChr10g0461421"
"12373","blue","gene.Ha412HOChr10g0461431"
"12374","saddlebrown","gene.Ha412HOChr10g0461451"
"12375","black","gene.Ha412HOChr10g0461471"
"12376","blue","gene.Ha412HOChr10g0461511"
"12377","blue","gene.Ha412HOChr10g0461521"
"12378","yellow","gene.Ha412HOChr10g0461561"
"12379","blue","gene.Ha412HOChr10g0461621"
"12380","greenyellow","gene.Ha412HOChr10g0461681"
"12381","turquoise","gene.Ha412HOChr10g0461761"
"12382","orange","gene.Ha412HOChr10g0461961"
"12383","turquoise","gene.Ha412HOChr10g0462011"
"12384","black","gene.Ha412HOChr10g0462021"
"12385","saddlebrown","gene.Ha412HOChr10g0462031"
"12386","blue","gene.Ha412HOChr10g0462041"
"12387","saddlebrown","gene.Ha412HOChr10g0462071"
"12388","greenyellow","gene.Ha412HOChr10g0462101"
"12389","blue","gene.Ha412HOChr10g0462131"
"12390","black","gene.Ha412HOChr10g0462141"
"12391","turquoise","gene.Ha412HOChr10g0462151"
"12392","turquoise","gene.Ha412HOChr10g0462161"
"12393","paleturquoise","gene.Ha412HOChr10g0462231"
"12394","paleturquoise","gene.Ha412HOChr10g0462241"
"12395","mediumorchid","gene.Ha412HOChr10g0462281"
"12396","blue","gene.Ha412HOChr10g0462361"
"12397","blue","gene.Ha412HOChr10g0462381"
"12398","magenta","gene.Ha412HOChr10g0462411"
"12399","lightcyan","gene.Ha412HOChr10g0462491"
"12400","black","gene.Ha412HOChr10g0462521"
"12401","blue","gene.Ha412HOChr10g0462541"
"12402","blue","gene.Ha412HOChr10g0462551"
"12403","black","gene.Ha412HOChr10g0462591"
"12404","greenyellow","gene.Ha412HOChr10g0462611"
"12405","blue2","gene.Ha412HOChr10g0462631"
"12406","black","gene.Ha412HOChr10g0462671"
"12407","orangered4","gene.Ha412HOChr10g0462681"
"12408","darkturquoise","gene.Ha412HOChr10g0462701"
"12409","darkturquoise","gene.Ha412HOChr10g0462751"
"12410","paleturquoise","gene.Ha412HOChr10g0463011"
"12411","blue","gene.Ha412HOChr10g0463071"
"12412","blue","gene.Ha412HOChr10g0463111"
"12413","yellow","gene.Ha412HOChr10g0463151"
"12414","blue","gene.Ha412HOChr10g0463181"
"12415","greenyellow","gene.Ha412HOChr10g0463191"
"12416","magenta","gene.Ha412HOChr10g0463201"
"12417","saddlebrown","gene.Ha412HOChr10g0463221"
"12418","saddlebrown","gene.Ha412HOChr10g0463231"
"12419","thistle","gene.Ha412HOChr10g0463241"
"12420","turquoise","gene.Ha412HOChr10g0463351"
"12421","skyblue","gene.Ha412HOChr10g0463361"
"12422","blue","gene.Ha412HOChr10g0463421"
"12423","darkturquoise","gene.Ha412HOChr10g0463431"
"12424","turquoise","gene.Ha412HOChr10g0463441"
"12425","lightcoral","gene.Ha412HOChr10g0463451"
"12426","blue","gene.Ha412HOChr10g0463461"
"12427","darkturquoise","gene.Ha412HOChr10g0463481"
"12428","mediumorchid","gene.Ha412HOChr10g0463501"
"12429","magenta4","gene.Ha412HOChr10g0463521"
"12430","yellow","gene.Ha412HOChr10g0463541"
"12431","cyan","gene.Ha412HOChr10g0463561"
"12432","blue","gene.Ha412HOChr10g0463601"
"12433","coral2","gene.Ha412HOChr10g0463671"
"12434","saddlebrown","gene.Ha412HOChr10g0463711"
"12435","blue","gene.Ha412HOChr10g0463721"
"12436","darkturquoise","gene.Ha412HOChr10g0463731"
"12437","blue","gene.Ha412HOChr10g0463891"
"12438","salmon","gene.Ha412HOChr10g0463901"
"12439","skyblue","gene.Ha412HOChr10g0464031"
"12440","ivory","gene.Ha412HOChr10g0464131"
"12441","bisque4","gene.Ha412HOChr10g0464141"
"12442","yellow","gene.Ha412HOChr10g0464171"
"12443","orangered4","gene.Ha412HOChr10g0464181"
"12444","ivory","gene.Ha412HOChr10g0464201"
"12445","skyblue4","gene.Ha412HOChr10g0464321"
"12446","darkturquoise","gene.Ha412HOChr10g0464351"
"12447","greenyellow","gene.Ha412HOChr10g0464481"
"12448","violet","gene.Ha412HOChr10g0464521"
"12449","ivory","gene.Ha412HOChr10g0464531"
"12450","violet","gene.Ha412HOChr10g0464581"
"12451","blue","gene.Ha412HOChr10g0464591"
"12452","turquoise","gene.Ha412HOChr10g0464671"
"12453","orangered4","gene.Ha412HOChr10g0464681"
"12454","yellowgreen","gene.Ha412HOChr10g0464711"
"12455","turquoise","gene.Ha412HOChr10g0464731"
"12456","skyblue","gene.Ha412HOChr10g0464751"
"12457","turquoise","gene.Ha412HOChr10g0464771"
"12458","darkturquoise","gene.Ha412HOChr10g0464801"
"12459","darkgrey","gene.Ha412HOChr10g0464841"
"12460","palevioletred3","gene.Ha412HOChr10g0464871"
"12461","blue","gene.Ha412HOChr10g0464921"
"12462","black","gene.Ha412HOChr10g0464951"
"12463","salmon","gene.Ha412HOChr10g0464971"
"12464","skyblue","gene.Ha412HOChr10g0464991"
"12465","turquoise","gene.Ha412HOChr10g0465011"
"12466","blue","gene.Ha412HOChr10g0465041"
"12467","blue","gene.Ha412HOChr10g0465061"
"12468","blue","gene.Ha412HOChr10g0465081"
"12469","blue","gene.Ha412HOChr10g0465161"
"12470","skyblue","gene.Ha412HOChr10g0465171"
"12471","saddlebrown","gene.Ha412HOChr10g0465281"
"12472","salmon4","gene.Ha412HOChr10g0465351"
"12473","blue","gene.Ha412HOChr10g0465371"
"12474","turquoise","gene.Ha412HOChr10g0465381"
"12475","yellow","gene.Ha412HOChr10g0465431"
"12476","skyblue","gene.Ha412HOChr10g0465441"
"12477","darkturquoise","gene.Ha412HOChr10g0465461"
"12478","greenyellow","gene.Ha412HOChr10g0465481"
"12479","midnightblue","gene.Ha412HOChr10g0465501"
"12480","black","gene.Ha412HOChr10g0465561"
"12481","blue","gene.Ha412HOChr10g0465591"
"12482","blue","gene.Ha412HOChr10g0465601"
"12483","saddlebrown","gene.Ha412HOChr10g0465691"
"12484","salmon","gene.Ha412HOChr10g0465741"
"12485","yellow","gene.Ha412HOChr10g0465791"
"12486","darkorange2","gene.Ha412HOChr10g0465821"
"12487","saddlebrown","gene.Ha412HOChr10g0465831"
"12488","blue","gene.Ha412HOChr10g0465881"
"12489","darkseagreen4","gene.Ha412HOChr10g0465941"
"12490","blue","gene.Ha412HOChr10g0465961"
"12491","coral2","gene.Ha412HOChr10g0465981"
"12492","saddlebrown","gene.Ha412HOChr10g0465991"
"12493","blue","gene.Ha412HOChr10g0466041"
"12494","darkolivegreen","gene.Ha412HOChr10g0466071"
"12495","turquoise","gene.Ha412HOChr10g0466081"
"12496","saddlebrown","gene.Ha412HOChr10g0466111"
"12497","greenyellow","gene.Ha412HOChr10g0466211"
"12498","yellow","gene.Ha412HOChr10g0466231"
"12499","ivory","gene.Ha412HOChr10g0466251"
"12500","turquoise","gene.Ha412HOChr10g0466371"
"12501","blue","gene.Ha412HOChr10g0466381"
"12502","orangered4","gene.Ha412HOChr10g0466391"
"12503","darkgreen","gene.Ha412HOChr10g0466401"
"12504","yellow","gene.Ha412HOChr10g0466561"
"12505","blue","gene.Ha412HOChr10g0466581"
"12506","turquoise","gene.Ha412HOChr10g0466591"
"12507","saddlebrown","gene.Ha412HOChr10g0466621"
"12508","ivory","gene.Ha412HOChr10g0466631"
"12509","coral2","gene.Ha412HOChr10g0466651"
"12510","turquoise","gene.Ha412HOChr10g0466681"
"12511","blue","gene.Ha412HOChr10g0466701"
"12512","yellow","gene.Ha412HOChr10g0466741"
"12513","blue","gene.Ha412HOChr10g0466791"
"12514","blue","gene.Ha412HOChr10g0466821"
"12515","turquoise","gene.Ha412HOChr10g0466881"
"12516","saddlebrown","gene.Ha412HOChr10g0467031"
"12517","blue","gene.Ha412HOChr10g0467051"
"12518","yellow","gene.Ha412HOChr10g0467081"
"12519","ivory","gene.Ha412HOChr10g0467091"
"12520","black","gene.Ha412HOChr10g0467171"
"12521","darkturquoise","gene.Ha412HOChr10g0467191"
"12522","saddlebrown","gene.Ha412HOChr10g0467371"
"12523","blue","gene.Ha412HOChr10g0467381"
"12524","blue","gene.Ha412HOChr10g0467391"
"12525","plum3","gene.Ha412HOChr10g0467401"
"12526","paleturquoise","gene.Ha412HOChr10g0467521"
"12527","ivory","gene.Ha412HOChr10g0467531"
"12528","saddlebrown","gene.Ha412HOChr10g0467541"
"12529","blue","gene.Ha412HOChr10g0467551"
"12530","ivory","gene.Ha412HOChr10g0467561"
"12531","midnightblue","gene.Ha412HOChr10g0467581"
"12532","lightcyan","gene.Ha412HOChr10g0467601"
"12533","salmon","gene.Ha412HOChr10g0467621"
"12534","saddlebrown","gene.Ha412HOChr10g0467641"
"12535","yellow","gene.Ha412HOChr10g0467761"
"12536","greenyellow","gene.Ha412HOChr10g0467831"
"12537","ivory","gene.Ha412HOChr10g0467851"
"12538","darkviolet","gene.Ha412HOChr10g0467861"
"12539","saddlebrown","gene.Ha412HOChr10g0467881"
"12540","yellow","gene.Ha412HOChr10g0467911"
"12541","lightpink3","gene.Ha412HOChr10g0467971"
"12542","blue","gene.Ha412HOChr10g0468041"
"12543","blue","gene.Ha412HOChr10g0468051"
"12544","thistle","gene.Ha412HOChr10g0468061"
"12545","darkseagreen4","gene.Ha412HOChr10g0468071"
"12546","orangered4","gene.Ha412HOChr10g0468081"
"12547","yellowgreen","gene.Ha412HOChr10g0468231"
"12548","saddlebrown","gene.Ha412HOChr10g0468271"
"12549","blue","gene.Ha412HOChr10g0468281"
"12550","orangered4","gene.Ha412HOChr10g0468291"
"12551","turquoise","gene.Ha412HOChr10g0468321"
"12552","coral2","gene.Ha412HOChr10g0468371"
"12553","lightcyan","gene.Ha412HOChr10g0468381"
"12554","turquoise","gene.Ha412HOChr10g0468391"
"12555","yellow","gene.Ha412HOChr10g0468421"
"12556","saddlebrown","gene.Ha412HOChr10g0468471"
"12557","blue","gene.Ha412HOChr10g0468501"
"12558","turquoise","gene.Ha412HOChr10g0468531"
"12559","orangered4","gene.Ha412HOChr10g0468541"
"12560","blue","gene.Ha412HOChr10g0468561"
"12561","saddlebrown","gene.Ha412HOChr10g0468581"
"12562","saddlebrown","gene.Ha412HOChr10g0468601"
"12563","blue","gene.Ha412HOChr10g0468801"
"12564","magenta","gene.Ha412HOChr10g0468811"
"12565","darkmagenta","gene.Ha412HOChr10g0468821"
"12566","lightcyan","gene.Ha412HOChr10g0468831"
"12567","palevioletred3","gene.Ha412HOChr10g0468851"
"12568","blue","gene.Ha412HOChr10g0468891"
"12569","blue","gene.Ha412HOChr10g0468941"
"12570","blue","gene.Ha412HOChr10g0468951"
"12571","darkturquoise","gene.Ha412HOChr10g0468991"
"12572","orangered4","gene.Ha412HOChr10g0469051"
"12573","orangered4","gene.Ha412HOChr10g0469061"
"12574","darkturquoise","gene.Ha412HOChr10g0469071"
"12575","darkmagenta","gene.Ha412HOChr10g0469081"
"12576","yellow","gene.Ha412HOChr10g0469101"
"12577","yellow","gene.Ha412HOChr10g0469131"
"12578","magenta","gene.Ha412HOChr10g0469141"
"12579","black","gene.Ha412HOChr10g0469151"
"12580","blue","gene.Ha412HOChr10g0469201"
"12581","darkolivegreen","gene.Ha412HOChr10g0469211"
"12582","ivory","gene.Ha412HOChr10g0469221"
"12583","saddlebrown","gene.Ha412HOChr10g0469231"
"12584","turquoise","gene.Ha412HOChr10g0469281"
"12585","blue","gene.Ha412HOChr10g0469291"
"12586","darkturquoise","gene.Ha412HOChr10g0469321"
"12587","skyblue4","gene.Ha412HOChr10g0469431"
"12588","saddlebrown","gene.Ha412HOChr10g0469451"
"12589","turquoise","gene.Ha412HOChr10g0469481"
"12590","black","gene.Ha412HOChr10g0469491"
"12591","saddlebrown","gene.Ha412HOChr10g0469511"
"12592","blue","gene.Ha412HOChr10g0469521"
"12593","turquoise","gene.Ha412HOChr10g0469531"
"12594","black","gene.Ha412HOChr10g0469541"
"12595","blue","gene.Ha412HOChr10g0469551"
"12596","black","gene.Ha412HOChr10g0469571"
"12597","blue","gene.Ha412HOChr10g0469581"
"12598","orangered4","gene.Ha412HOChr10g0469601"
"12599","magenta","gene.Ha412HOChr10g0469821"
"12600","coral2","gene.Ha412HOChr10g0469861"
"12601","blue","gene.Ha412HOChr10g0469871"
"12602","greenyellow","gene.Ha412HOChr10g0469911"
"12603","mediumpurple2","gene.Ha412HOChr10g0469921"
"12604","orangered4","gene.Ha412HOChr10g0470201"
"12605","skyblue","gene.Ha412HOChr10g0470221"
"12606","blue","gene.Ha412HOChr10g0470231"
"12607","magenta4","gene.Ha412HOChr10g0470241"
"12608","blue","gene.Ha412HOChr10g0470251"
"12609","salmon","gene.Ha412HOChr10g0470261"
"12610","blue","gene.Ha412HOChr10g0470281"
"12611","lightgreen","gene.Ha412HOChr10g0470291"
"12612","black","gene.Ha412HOChr10g0470341"
"12613","turquoise","gene.Ha412HOChr10g0470351"
"12614","darkslateblue","gene.Ha412HOChr10g0470361"
"12615","blue","gene.Ha412HOChr10g0470371"
"12616","ivory","gene.Ha412HOChr10g0470391"
